SELFIES	MW	LogP	TPSA	HBA	HBD	RotB
[N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][#Branch2][N][N][=C][C][=Branch1][C][=O][N][C][=C][C][=C][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][=C][Ring1][=Branch2][Ring1][=N][C][=C][Ring2][Ring1][Branch1]	361.3390000000001	1.0105000000000002	156.79000000000002	7	3	4
[N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][N][N][C][=C][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][Branch2][C][=C][N][=C][O][Ring1][Branch1][C][=C][Ring1][O][Ring1][#C][C][=C][Ring2][Ring1][#Branch1]	382.4010000000001	2.3941	127.32	6	3	4
[C][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][Ring1][N][C][=C][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#Branch2][C][=C][Ring2][Ring1][C]	329.38100000000003	1.9997999999999996	87.30000000000001	4	3	4
[O][=C][Branch1][#Branch2][N][C][C][C][N][C][C][Ring1][=Branch1][C][=N][NH1][C][=C][Ring1][Branch1][N][C][=Branch1][C][=O][C][=C][Branch1][C][Cl][C][=C][C][=C][Ring1][#Branch1][Cl]	382.2510000000001	2.4505999999999997	98.91	4	4	4
[C][O][C][=C][C][=C][C][Branch2][Ring1][=Branch2][N][C][=N][C][=C][C][Branch1][=C][C][C][=N][N][N][=C][C][=C][C][=Ring1][=Branch2][Ring1][=Branch1][=N][Ring1][#C][=C][Ring2][Ring1][=Branch1]	318.34000000000003	2.9385000000000003	77.23	7	1	4
[C][C][=C][C][Branch1][Branch2][N][C][C][C][C][Ring1][Branch1][=C][O][C][Branch1][#C][C][=C][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][Branch2][=C][Branch1][C][O][C][=Branch1][C][=O][C][Ring1][S][=C][Ring2][Ring1][=Branch2]	353.37400000000014	3.485420000000002	94.14000000000001	6	3	2
[C][C][=C][C][Branch1][N][N][C][C][C][S][Ring1][Branch1][=Branch1][C][=O][=O][=C][O][C][Branch1][N][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][=C][Branch1][C][O][C][=Branch1][C][=O][C][Ring1][#C][=C][Ring2][Ring1][#Branch2]	387.4130000000001	2.719520000000001	108.05000000000001	6	2	2
[C][C][Branch1][C][C][C][C][=N][N][C][Branch2][Ring1][Branch2][N][C][=C][C][=C][Branch1][=N][S][=Branch1][C][=O][=Branch1][C][=O][N][Branch1][C][C][C][C][=C][Ring1][N][=C][C][Branch1][=N][N][C][C][C][C][C][Branch1][C][N][C][Ring1][#Branch1][=N][C][=Ring2][Ring1][=C][Ring2][Ring1][O]	471.6310000000003	3.5284000000000013	117.64999999999999	8	3	7
[C][C][Branch1][C][C][C][O][C][C][=C][Branch2][Ring1][Ring2][N][C][=C][C][=C][Branch1][=Branch2][S][Branch1][C][C][=Branch1][C][=O][=O][C][=C][Ring1][#Branch2][N][N][=C][C][Branch1][=Branch1][C][Branch1][C][C][C][=C][Ring1][Branch2][N][=Ring2][Ring1][#Branch1]	402.5200000000001	4.034600000000003	85.59	7	1	7
[N][C][N][=C][C][=C][C][Branch1][=N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][N][Ring1][=C][C][=Ring1][P][C][=Branch1][C][=O][C][=C][Branch1][C][F][C][=C][C][=C][Ring1][#Branch1][F]	377.3500000000001	3.6567000000000016	77.46000000000001	5	1	4
